IATA,ICAO,NAME
6V,VGA,[Air Vegas](https://airlinecodes.info/6V)
6W,SOV,[Saratov Aviation Division](https://airlinecodes.info/6W)
6Z,UKS,[Ukrainian Cargo Airways](https://airlinecodes.info/6Z)
7B,KJC,[Krasnojarsky Airlines](https://airlinecodes.info/7B)
7C,JJA,[Jeju Air](https://airlinecodes.info/7C)
7C\*,COY,[Coyne Airways](https://airlinecodes.info/7C*)
7E,AWU,[Aeroline GmbH](https://airlinecodes.info/7E)
7F,FAB,[First Air](https://airlinecodes.info/7F)
7G,SFJ,[StarFlyer](https://airlinecodes.info/7G)
7H,RVF,[Ravn Alaska](https://airlinecodes.info/7H)
7K,KGL,[Kogalymavia Air Company](https://airlinecodes.info/7K)
7L,AZG,[Silk Way West Airlines](https://airlinecodes.info/7L)
7M,MSA,[Mistral Air](https://airlinecodes.info/7M)
7N,CNA,[Centavia](https://airlinecodes.info/7N)
7O,GAL,[Galaxy Air](https://airlinecodes.info/7O)
7P,BTV,[Metro Batavia](https://airlinecodes.info/7P)
7R,BRB,[BRA-Transportes Aereos](https://airlinecodes.info/7R)
7T,AGV,[Air Glaciers](https://airlinecodes.info/7T)
7T,TOB,[Tobruk Air](https://airlinecodes.info/7T)
7W,WAY,[Wayraperú](https://airlinecodes.info/7W)
8A,BMM,[Atlas Blue](https://airlinecodes.info/8A)
8B,GFI,[Caribbean Star Airlines](https://airlinecodes.info/8B)
8C,ATN,[Air Transport International](https://airlinecodes.info/8C)
8D,EXV,[Expo Aviation](https://airlinecodes.info/8D)
8E,BRG,[Bering Air](https://airlinecodes.info/8E)
8F,FFR,[Fischer Air](https://airlinecodes.info/8F)
8H,HFR,[Heli France](https://airlinecodes.info/8H)
8J,KMV,[Komiinteravia](https://airlinecodes.info/8J)
8L,CGP,[Cargo Plus Aviation](https://airlinecodes.info/8L)
8L,RHC,[Redhill Aviation](https://airlinecodes.info/8L)
8M,MXL,[Maxair](https://airlinecodes.info/8M)
8N,NKF,[Barents AirLink](https://airlinecodes.info/8N)
8P,PCO,[Pacific Coastal Airline](https://airlinecodes.info/8P)
8Q,OHY,[Onur Air](https://airlinecodes.info/8Q)
8T,TID,[Air Tindi](https://airlinecodes.info/8T)
8U,AAW,[Afriqiyah Airways](https://airlinecodes.info/8U)
8V,ACP,[Astral Aviation](https://airlinecodes.info/8V)
8V,WRF,[Wright Air Service](https://airlinecodes.info/8V)
8W,PWF,[Private Wings Flugcharter](https://airlinecodes.info/8W)
8Y,PBU,[Air Burundi](https://airlinecodes.info/8Y)
8z,LER,[Linea Aerea de Servicio Ejecutivo Regional](https://airlinecodes.info/8z)
9C,CQH,[Spring Airlines](https://airlinecodes.info/9C)
9E,EDV,[Endeavor Air](https://airlinecodes.info/9E)
9H,DNL,[Dutch Antilles Express](https://airlinecodes.info/9H)
9I,LLR,[Alliance Air](https://airlinecodes.info/9I)
9K,KAP,[Cape Air](https://airlinecodes.info/9K)
9L,CJC,[Colgan Air](https://airlinecodes.info/9L)
9Q,PBA,[PB Air](https://airlinecodes.info/9Q)
9R,VAP,[Phuket Air](https://airlinecodes.info/9R)
9S,SOO,[Southern Air](https://airlinecodes.info/9S)
9T,ABS,[Transwest Air](https://airlinecodes.info/9T)
9T,RUN,[Air ACT](https://airlinecodes.info/9T)
9U,MLD,[Air Moldova](https://airlinecodes.info/9U)
9W,JAI,[Jet Airways](https://airlinecodes.info/9W)
9X,ACL,[Itali Airlines](https://airlinecodes.info/9X)
